lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Crops,Wind Turbine,67.69222003933805,0.6184028507684711
Crops,Solar Panel,22.927440314911262,0.20945382561431122
Grass,Solar Panel,4.970096104029488,0.045404355146558766
Built Area,Solar Panel,3.522454529169174,0.03217941325125183
Grass,Wind Turbine,3.223069241045004,0.029444376410289373
Trees,Solar Panel,2.4496654161075764,0.022378939202607244
Trees,Wind Turbine,2.2739559761437707,0.0207737441223247
Built Area,Wind Turbine,1.2632331766535296,0.011540277408155358
Bare ground,Wind Turbine,1.140847068256401,0.010422218076030318
