area,chipid,lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Denmark,14_3_12,Trees,Shrub & Scrub,7.868139361544085,0.3101107699665013
Denmark,14_3_12,Grass,Crops,3.939060473133227,0.15525208948869373
Denmark,14_3_12,Trees,Crops,2.8392464474733097,0.11190458906383825
Denmark,14_3_12,Trees,Grass,2.3035924548579905,0.09079260000865602
Denmark,14_3_12,Grass,Trees,2.23900274349589,0.08824689457538516
Denmark,14_3_12,Crops,Grass,2.114046221161954,0.08332192291782818
Denmark,14_3_12,Crops,Trees,0.9092384340743198,0.03583625275526246
Denmark,14_3_12,Shrub & Scrub,Trees,0.7253700562442132,0.028589359735030535
Denmark,14_3_12,Crops,Wind Turbine,0.5117634771127717,0.02017038064981996
Denmark,14_3_12,Shrub & Scrub,Grass,0.34514023558978807,0.013603178500916177
Denmark,14_3_12,Crops,Built Area,0.21400059431664636,0.008434508595663777
Denmark,14_3_12,Trees,Built Area,0.1943688464155832,0.007660753050973958
Denmark,14_3_12,Shrub & Scrub,Crops,0.1914216575601028,0.007544594075743204
Denmark,14_3_12,Built Area,Crops,0.1807196695819218,0.007122791464021968
Denmark,14_3_12,Crops,Shrub & Scrub,0.10958578142655882,0.004319157235784106
Denmark,14_3_12,Grass,Wind Turbine,0.10008276250823553,0.003944610169654214
Denmark,14_3_12,Trees,Wind Turbine,0.09649400274260618,0.003803164650833902
Denmark,14_3_12,Trees,Flooded vegetation,0.08832233032819502,0.00348109058631838
Denmark,14_3_12,Built Area,Trees,0.08214081907848955,0.0032374557032643315
Denmark,14_3_12,Grass,Flooded vegetation,0.07838227683587674,0.003089318465824813
Denmark,14_3_12,Grass,Shrub & Scrub,0.06985289561981939,0.0027531458518549605
Denmark,14_3_12,Built Area,Grass,0.039838614160546126,0.001570178506510443
Denmark,14_3_12,Grass,Built Area,0.03484291975588002,0.0013732807944642849
Denmark,14_3_12,Trees,Bare ground,0.02434819385319375,0.0009596471028476763
Denmark,14_3_12,Crops,Bare ground,0.01794755804083589,0.0007073757577636297
Denmark,14_3_12,Flooded vegetation,Trees,0.014981586848459898,0.0005904765052336544
Denmark,14_3_12,Shrub & Scrub,Wind Turbine,0.013887882863119885,0.0005473698227736399
Denmark,14_3_12,Shrub & Scrub,Flooded vegetation,0.012401357034747255,0.0004887806636307774
Denmark,14_3_12,Shrub & Scrub,Built Area,0.0034230480010320565,0.00013491424115091234
Denmark,14_3_12,Flooded vegetation,Shrub & Scrub,0.002581107043726526,0.00010173041629233578
Denmark,14_3_12,Bare ground,Crops,0.002413611714535876,9.512884213174395e-05
Denmark,14_3_12,Snow & Ice,Crops,0.0015730460510820553,6.199922239278797e-05
Denmark,14_3_12,Bare ground,Shrub & Scrub,0.0015717987795702934,6.195006307937263e-05
Denmark,14_3_12,Bare ground,Grass,0.0012359599082062613,4.871348373096841e-05
Denmark,14_3_12,Snow & Ice,Shrub & Scrub,0.0010104934655894464,3.982706612844808e-05
