lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Crops,Wind Turbine,154.65395786727723,0.7605343866783802
Crops,Solar Panel,17.274186121271185,0.08494844055904319
Grass,Wind Turbine,15.249247475194052,0.07499049643337607
Trees,Wind Turbine,12.197302498535775,0.0599820922967621
Grass,Solar Panel,1.8879783309280733,0.00928442092123312
Trees,Solar Panel,0.7566170446962,0.003720779525941814
Built Area,Wind Turbine,0.6758946905657137,0.003323815058064758
Shrub & Scrub,Wind Turbine,0.6538828595202605,0.0032155685271988057
