,lulc_category_from,lulc_category_to,tfidf_score,changed_area
0,Trees,Crops,16.79857744424378,774.7325158054864
0,Crops,Grass,16.270275232855948,853.6701542944766
0,Grass,Crops,16.116752777158876,1073.5984026742608
0,Trees,Grass,14.982122811714381,327.547459833096
0,Crops,Trees,14.846208879863866,300.72682934085805
0,Grass,Trees,14.465039752786923,257.71867585773396
0,Crops,Built Area,14.036723157632736,214.60187372318111
0,Trees,Built Area,13.674645706845288,159.94364503136862
0,Crops,Wind Turbine,12.379977182604257,88.82334005840247
0,Built Area,Crops,12.02128186528659,81.37410219078878
