,lulc_category_from,lulc_category_to,tfidf_score,changed_area
0,Crops,Grass,16.734751393499177,1035.0734962118192
0,Grass,Crops,15.667864328330415,883.9464881410481
0,Crops,Built Area,15.499273018630666,375.4715037173843
0,Crops,Trees,15.468805781515572,382.0303382929093
0,Trees,Crops,14.768274046649209,346.70826860677766
0,Trees,Built Area,14.579719021579221,223.78927343263453
0,Grass,Trees,14.019026743029526,217.17056268374833
0,Built Area,Crops,13.859149705195337,159.42997073637738
0,Trees,Grass,12.977105986829885,150.89050528557357
0,Built Area,Trees,12.344454325090991,87.85817741471134
