,lulc_category_from,lulc_category_to,tfidf_score,changed_area
0,Trees,Shrub & Scrub,15.787319648981551,431.5372922279472
0,Grass,Crops,14.915553702247891,638.1898958293219
0,Trees,Grass,14.778232735409047,302.72211074157303
0,Shrub & Scrub,Trees,14.533484038861507,301.52189333957284
0,Crops,Grass,13.689813767499121,292.67676276844765
0,Grass,Trees,13.677510120061509,190.49092751941834
0,Trees,Crops,13.126314076273683,180.95349631190268
0,Grass,Shrub & Scrub,12.26626334603073,85.93933679601132
0,Shrub & Scrub,Grass,10.889859465283443,51.840704161549375
0,Crops,Trees,10.753353854733593,62.37074953865276
